latitude,longitude,year,rebgovicews,govrebicewsstand,rebcivicews,rebcivicewsstand,rebgovicewsstand,govcivicews,govcivicewsstand,govrebged,govcivged,rebcivged,rebgovged,govrebgedstand,govcivgedstand,rebcivgedstand,rebgovgedstand
-2.43979,-72.8526,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.34056,-74.920799,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.2409,-74.355003,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4372201,-76.522499,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.9242101,-67.863197,1995,1,0,0,0,0,0,0,0,0,0,,0,0,0,
4.6097102,-74.081703,1995,5,1,2,1,3,0,0,0,0,0,,0,0,0,
4.6166701,-74.099998,1995,2,0,1,0,0,0,0,0,0,0,,0,0,0,
5.21698,-75.821198,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.4594798,-74.338203,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.1846099,-75.599098,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.2518401,-75.563599,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.55687,-75.828102,1995,0,0,1,0,0,0,0,0,0,0,,0,0,0,
6.82833,-75.5131,1995,0,1,0,0,0,0,0,0,0,0,,0,0,0,
7.1711702,-75.764,1995,1,0,0,0,1,0,0,0,0,0,,0,0,0,
7.6663799,-76.681099,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.8829899,-76.6259,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.0128403,-75.605598,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.3121204,-74.141602,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.4169397,-75.396797,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.1,-75.050003,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.3997,-75.514397,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4167,-75.366699,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4552,-74.314499,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4631,-73.253197,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.9685,-74.781303,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.5444,-72.907204,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.7751,-72.444504,1995,0,0,0,0,0,0,0,0,0,0,,0,0,0,
.67655998,-76.877098,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.57286,-72.645897,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
2.6220601,-72.757202,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.6547201,-75.992798,1996,1,0,0,0,1,0,0,0,0,0,,0,0,0,
2.89116,-72.133301,1996,2,0,0,0,0,0,0,0,0,0,,0,0,0,
3.00945,-76.484901,1996,1,1,0,0,1,0,0,0,0,0,,0,0,0,
3.0725,-74.900299,1996,1,0,0,0,1,0,0,0,0,0,,0,0,0,
3.4372201,-76.522499,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.64361,-74.809196,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.8666699,-74.416702,1996,0,0,1,0,0,0,0,0,0,0,,0,0,0,
3.9008901,-76.297798,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.9242101,-67.863197,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
4.0738902,-76.064201,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.1420002,-73.626602,1996,2,0,0,0,2,0,0,0,0,0,,0,0,0,
4.3190899,-72.461899,1996,1,1,0,0,1,0,0,0,0,0,,0,0,0,
4.6097102,-74.081703,1996,12,1,8,7,6,6,2,0,0,0,,0,0,0,
4.69203,-74.109901,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.8136702,-74.3545,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.1327801,-74.159798,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.1728201,-72.547096,1996,1,0,1,0,0,0,0,0,0,0,,0,0,0,
5.3000002,-72.166702,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.6326499,-72.1353,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
5.7106199,-75.310699,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.1846099,-75.599098,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.1974001,-71.917503,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.2518401,-75.563599,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.3032198,-75.853798,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.3151999,-76.134201,1996,1,1,0,0,1,0,0,0,0,0,,0,0,0,
6.55687,-75.828102,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
6.82833,-75.5131,1996,4,0,3,3,3,0,0,0,0,0,,0,0,0,
6.8322201,-75.920799,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
7.00172,-76.267197,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.0212202,-75.909302,1996,1,0,0,0,1,0,0,0,0,0,,0,0,0,
7.06528,-73.854698,1996,1,0,0,0,1,0,0,0,0,0,,0,0,0,
7.0847101,-70.759102,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.1253901,-73.119797,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.1711702,-75.764,1996,1,1,0,0,1,0,0,0,0,0,,0,0,0,
7.2323499,-73.575897,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.2440701,-76.4356,1996,0,0,1,0,0,0,0,0,0,0,,0,0,0,
7.5999999,-74.833298,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.7584901,-76.652496,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.8939099,-72.507797,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.9324799,-72.601196,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
8.2751503,-76.376404,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.5292702,-75.862801,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.4169397,-75.396797,1996,2,0,1,0,0,0,0,0,0,0,,0,0,0,
9.5239601,-75.440598,1996,2,0,0,0,1,0,0,0,0,0,,0,0,0,
9.7632198,-75.639702,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.93085,-74.277397,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.0343,-74.1567,1996,3,0,0,0,0,0,0,0,0,0,,0,0,0,
10.1268,-74.238197,1996,0,0,0,0,0,1,1,0,0,0,,0,0,0,
10.3275,-74.757797,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.3997,-75.514397,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4683,-74.2659,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.6833,-74.233299,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.7167,-74.949997,1996,1,1,0,0,1,0,0,0,0,0,,0,0,0,
10.95,-74.783302,1996,1,0,0,0,0,0,0,0,0,0,,0,0,0,
10.9685,-74.781303,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.9784,-74.311501,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.0798,-72.870598,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.5303,-72.941704,1996,2,0,0,0,2,0,0,0,0,0,,0,0,0,
11.6589,-71.914001,1996,1,0,0,0,1,0,0,0,0,0,,0,0,0,
1.2136101,-77.281097,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
1.33488,-74.842903,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.48317,-75.516998,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.0833299,-78.616699,1997,0,1,0,0,0,0,0,0,0,0,,0,0,0,
2.1217201,-74.766098,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
2.5833299,-75.449997,1997,0,0,1,0,0,0,0,0,0,0,,0,0,0,
2.78333,-76.550003,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.7974,-76.4832,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
2.8,-76.083298,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
2.8635299,-75.233704,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
2.89116,-72.133301,1997,2,0,0,0,2,0,0,0,0,0,,0,0,0,
3.0222499,-73.404404,1997,2,0,0,0,0,0,0,0,0,0,,0,0,0,
3.0358601,-76.407898,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.3698499,-73.872704,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4372201,-76.522499,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4667799,-76.533203,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.8666699,-74.416702,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.9242101,-67.863197,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
4.1420002,-73.626602,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
4.4724798,-74.126404,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
4.50982,-72.968498,1997,1,1,0,0,1,0,0,0,0,0,,0,0,0,
4.6097102,-74.081703,1997,16,1,3,1,6,3,1,0,0,0,,0,0,0,
4.6166701,-74.099998,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
4.78722,-75.658302,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
5.0088601,-74.472298,1997,0,0,1,1,0,0,0,0,0,0,,0,0,0,
5.4000001,-71.883301,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.4308901,-72.178596,1997,0,0,1,0,0,0,0,0,0,0,,0,0,0,
5.5622301,-72.574997,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
5.6326499,-72.1353,1997,1,0,1,0,0,0,0,0,0,0,,0,0,0,
5.9650202,-75.965401,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.2518401,-75.563599,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.55687,-75.828102,1997,4,0,0,0,0,0,0,0,0,0,,0,0,0,
6.6778998,-75.812202,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.7188201,-71.012398,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.82833,-75.5131,1997,1,1,0,0,1,0,0,0,0,0,,0,0,0,
6.8747201,-75.635803,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
6.9848099,-76.754402,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.0988898,-73.107201,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
7.1536102,-73.153603,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.1694398,-74.639397,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.4897099,-74.869202,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.8939099,-72.507797,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.9279099,-76.623497,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.0194902,-76.642403,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.0936804,-76.726898,1997,0,0,0,0,0,1,0,0,0,0,,0,0,0,
8.2751503,-76.376404,1997,0,0,1,0,0,0,0,0,0,0,,0,0,0,
8.6978703,-75.319,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.79175,-75.360603,1997,0,0,1,0,0,0,0,0,0,0,,0,0,0,
8.8666697,-73.833298,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.1682997,-75.836899,1997,1,0,1,0,0,0,0,0,0,0,,0,0,0,
9.4169397,-75.396797,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.5239601,-75.440598,1997,3,0,0,0,0,0,0,0,0,0,,0,0,0,
9.5622797,-73.334099,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.8500004,-75.616699,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.0343,-74.1567,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
10.1,-75.050003,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.3333,-74.5,1997,1,0,1,1,1,0,0,0,0,0,,0,0,0,
10.3748,-74.204903,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4,-73.016701,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4552,-74.314499,1997,0,0,0,0,0,1,0,0,0,0,,0,0,0,
10.4631,-73.253197,1997,0,0,0,0,0,1,1,0,0,0,,0,0,0,
10.8167,-75.133301,1997,2,0,0,0,0,0,0,0,0,0,,0,0,0,
10.95,-74.783302,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.9685,-74.781303,1997,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.2008,-72.536797,1997,1,1,0,0,1,0,0,0,0,0,,0,0,0,
11.2371,-72.901398,1997,1,0,0,0,1,0,0,0,0,0,,0,0,0,
11.5303,-72.941704,1997,1,0,0,0,0,0,0,0,0,0,,0,0,0,
.51327997,-76.500702,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
.67655998,-76.877098,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
.68361998,-76.604401,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.19833,-70.173302,1998,6,0,2,1,5,0,0,0,0,0,,0,0,0,
1.9485101,-76.522003,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.1217201,-74.766098,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.43823,-76.613197,1998,1,0,1,1,1,0,0,0,0,0,,0,0,0,
2.89116,-72.133301,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.23861,-75.6008,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.3698499,-73.872704,1998,0,0,1,0,0,0,0,0,0,0,,0,0,0,
3.4372201,-76.522499,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4667799,-76.533203,1998,1,0,1,0,0,0,0,0,0,0,,0,0,0,
3.9242101,-67.863197,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
4.1420002,-73.626602,1998,0,0,1,0,0,0,0,0,0,0,,0,0,0,
4.2666702,-74.216698,1998,2,0,2,0,0,0,0,0,0,0,,0,0,0,
4.6097102,-74.081703,1998,24,1,12,5,10,3,2,0,0,0,,0,0,0,
4.6166701,-74.099998,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.8218999,-76.082397,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.0688901,-75.517403,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.0698299,-74.377998,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
5.0752001,-72.562401,1998,1,0,0,0,1,0,0,0,0,0,,0,0,0,
5.1327801,-74.159798,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.3000002,-72.166702,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.4308901,-72.178596,1998,0,0,2,0,0,0,0,0,0,0,,0,0,0,
5.5194001,-74.177696,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.5622301,-72.574997,1998,1,0,0,0,1,0,0,0,0,0,,0,0,0,
5.6326499,-72.1353,1998,2,0,0,0,0,0,0,0,0,0,,0,0,0,
6.0573001,-75.185204,1998,1,0,0,0,1,0,0,0,0,0,,0,0,0,
6.0910602,-75.635696,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.2453599,-71.450401,1998,0,0,1,0,0,0,0,0,0,0,,0,0,0,
6.2518401,-75.563599,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.3151999,-76.134201,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.4407101,-76.206001,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.55687,-75.828102,1998,0,0,0,0,0,1,0,0,0,0,,0,0,0,
6.7188201,-71.012398,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.82833,-75.5131,1998,2,0,0,0,0,0,0,0,0,0,,0,0,0,
6.8322201,-75.920799,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.9337001,-70.2808,1998,0,0,2,1,0,0,0,0,0,0,,0,0,0,
6.9387002,-70.2687,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.96667,-71.834702,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
7.00172,-76.267197,1998,0,0,1,0,0,0,0,0,0,0,,0,0,0,
7.06528,-73.854698,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.0847101,-70.759102,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
7.2761102,-76.562202,1998,0,0,1,0,0,0,0,0,0,0,,0,0,0,
7.4897099,-74.869202,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.74016,-72.780502,1998,1,0,0,0,1,0,0,0,0,0,,0,0,0,
8.5882397,-75.9198,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.6978703,-75.319,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.9436102,-75.041702,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.1682997,-75.836899,1998,1,0,1,0,0,0,0,0,0,0,,0,0,0,
9.3117399,-74.196198,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.4169397,-75.396797,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.4220304,-74.230103,1998,0,0,1,0,0,0,0,0,0,0,,0,0,0,
9.5100002,-73.886703,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.5239601,-75.440598,1998,4,0,1,0,0,0,0,0,0,0,,0,0,0,
9.9009304,-74.859802,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.1,-75.050003,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.333,-74.458801,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.3748,-74.204903,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.3997,-75.514397,1998,1,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4552,-74.314499,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.6833,-74.233299,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.8167,-74.766701,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.9685,-74.781303,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.073,-72.936699,1998,0,0,1,0,0,1,0,0,0,0,,0,0,0,
11.161,-72.5924,1998,1,0,0,0,1,0,0,0,0,0,,0,0,0,
11.2093,-72.777802,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.46,-72.404999,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.6589,-71.914001,1998,2,0,0,0,1,0,0,0,0,0,,0,0,0,
11.9142,-71.283501,1998,0,0,1,1,0,0,0,0,0,0,,0,0,0,
12.5167,-81.699997,1998,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.1217201,-74.766098,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.2676499,-77.239403,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.5229499,-75.314903,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.54899,-76.862099,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.8,-76.083298,1999,2,0,1,0,0,0,0,0,0,0,,0,0,0,
3.0222499,-73.404404,1999,2,0,0,0,2,0,0,0,0,0,,0,0,0,
3.2409,-74.355003,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4372201,-76.522499,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4667799,-76.533203,1999,1,0,0,0,1,0,0,0,0,0,,0,0,0,
3.5251,-74.021599,1999,0,0,1,1,0,0,0,0,0,0,,0,0,0,
3.6568501,-76.688599,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.72861,-69.550797,1999,0,0,1,1,0,0,0,0,0,0,,0,0,0,
3.7502401,-74.929298,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
3.8652799,-67.923897,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
3.8919201,-75.825897,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.9242101,-67.863197,1999,0,0,1,0,0,0,0,0,0,0,,0,0,0,
4.17698,-74.532501,1999,1,0,0,0,1,0,0,0,0,0,,0,0,0,
4.2666702,-74.216698,1999,1,0,1,0,0,0,0,0,0,0,,0,0,0,
4.3364601,-74.3638,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.3764801,-74.669998,1999,0,0,1,0,0,0,0,0,0,0,,0,0,0,
4.6097102,-74.081703,1999,10,2,3,0,3,2,2,0,0,0,,0,0,0,
4.6166701,-74.099998,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
5.1728201,-72.547096,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.2839298,-75.260201,1999,0,0,1,0,0,0,0,0,0,0,,0,0,0,
5.6326499,-72.1353,1999,2,0,0,0,0,0,0,0,0,0,,0,0,0,
6.0044398,-71.133102,1999,0,0,1,0,0,0,0,0,0,0,,0,0,0,
6.0910602,-75.635696,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.1846099,-75.599098,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.2518401,-75.563599,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
6.53333,-72.833298,1999,1,0,0,0,1,0,0,0,0,0,,0,0,0,
6.55687,-75.828102,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
6.6270499,-70.727203,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
6.82833,-75.5131,1999,2,0,0,0,1,0,0,0,0,0,,0,0,0,
7.06528,-73.854698,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
7.0847101,-70.759102,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.0988898,-73.107201,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
7.2440701,-76.4356,1999,2,0,0,0,0,0,0,0,0,0,,0,0,0,
7.5394101,-72.7724,1999,1,0,0,0,1,0,0,0,0,0,,0,0,0,
8.6978703,-75.319,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
8.9272203,-75.8778,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.1682997,-75.836899,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.3653698,-75.630898,1999,1,1,0,0,1,0,0,0,0,0,,0,0,0,
9.4169397,-75.396797,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.5100002,-73.886703,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.5239601,-75.440598,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
9.5666704,-74.800003,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
9.7358599,-75.526299,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.1,-75.25,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.1,-75.050003,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.333,-74.458801,1999,0,0,0,0,0,1,0,0,0,0,,0,0,0,
10.4,-75.516701,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.4631,-73.253197,1999,0,0,0,0,0,1,0,0,0,0,,0,0,0,
10.6226,-74.278,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.6271,-74.175697,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.7274,-72.879303,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.8167,-74.766701,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10.9685,-74.781303,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.0798,-72.870598,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.2093,-72.777802,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.5303,-72.941704,1999,0,0,0,0,0,0,0,0,0,0,,0,0,0,
11.6589,-71.914001,1999,1,0,0,0,0,0,0,0,0,0,,0,0,0,
.51327997,-76.500702,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.0296299,-77.644203,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.20478,-76.923698,2000,1,0,0,0,1,0,0,0,0,0,,0,0,0,
1.2136101,-77.281097,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.40255,-78.569504,2000,1,0,0,0,0,0,0,0,0,0,,0,0,0,
1.49766,-77.135902,2000,1,0,0,0,1,0,0,0,0,0,,0,0,0,
1.67817,-75.284698,2000,0,0,1,0,0,0,0,0,0,0,,0,0,0,
1.70134,-77.201401,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.79861,-78.815598,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
1.9485101,-76.522003,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.1217201,-74.766098,2000,1,0,0,0,0,0,0,0,0,0,,0,0,0,
2.2676499,-77.239403,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.6220601,-72.757202,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2.62271,-76.570396,2000,1,0,0,0,1,0,0,0,0,0,,0,0,0,
2.8,-76.083298,2000,1,0,0,0,0,0,0,0,0,0,,0,0,0,
2.8635299,-75.233704,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.2,-75.050003,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.26074,-76.535004,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.4372201,-76.522499,2000,1,1,0,0,1,1,1,0,0,0,,0,0,0,
3.4667799,-76.533203,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.58234,-76.491501,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.6205699,-75.094101,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
3.8666699,-74.416702,2000,1,2,1,0,1,0,0,0,0,0,,0,0,0,
3.9008901,-76.297798,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.0107999,-75.604897,2000,1,0,0,0,0,0,0,0,0,0,,0,0,0,
4.1420002,-73.626602,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.4036698,-74.386703,2000,0,0,1,1,0,0,0,0,0,0,,0,0,0,
4.43713,-74.521599,2000,0,0,1,0,0,0,0,0,0,0,,0,0,0,
4.6097102,-74.081703,2000,23,4,13,9,14,10,8,0,0,0,,0,0,0,
4.6166701,-74.099998,2000,1,0,1,0,0,0,0,0,0,0,,0,0,0,
4.7174301,-74.142998,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.7206898,-73.969299,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.7477798,-72.536903,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.8133302,-75.696098,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
4.8773899,-74.4674,2000,2,0,0,0,2,0,0,0,0,0,,0,0,0,
5.2383299,-76.0364,2000,0,0,0,0,0,2,1,0,0,0,,0,0,0,
5.2965899,-75.055,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
5.3200998,-76.372299,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,
